source,target,count,label
USA,SWE,8141,2000-2005
USA,SWE,106,1995-2000
USA,SWE,13306,1990-1995
CAN,AZE,35,2005-2010
CAN,AZE,2,2000-2005
CAN,AZE,0,1995-2000
CAN,AZE,0,1990-1995
CAN,BLR,132,2005-2010
CAN,BLR,14,2000-2005
CAN,BLR,68,1995-2000
CAN,BLR,509,1990-1995
CAN,EST,44,2005-2010
CAN,EST,3,2000-2005
CAN,EST,15,1995-2000
CAN,EST,27,1990-1995
CAN,KAZ,1571,2005-2010
CAN,KAZ,55,2000-2005
CAN,KAZ,0,1995-2000
CAN,KAZ,1,1990-1995
CAN,LTU,111,2005-2010
CAN,LTU,61,2000-2005
CAN,LTU,0,1995-2000
CAN,LTU,0,1990-1995
CAN,LVA,81,2005-2010
CAN,LVA,45,2000-2005
CAN,LVA,21,1995-2000
CAN,LVA,57,1990-1995
CAN,MDA,23,2005-2010
CAN,MDA,0,2000-2005
CAN,MDA,0,1995-2000
CAN,MDA,7,1990-1995
CAN,RUS,2093,2005-2010
CAN,RUS,210,2000-2005
CAN,RUS,977,1995-2000
CAN,RUS,2318,1990-1995
CAN,TKM,2,2005-2010
CAN,TKM,0,2000-2005
CAN,TKM,0,1995-2000
CAN,TKM,113,1990-1995
CAN,UKR,612,2005-2010
CAN,UKR,16,2000-2005
CAN,UKR,0,1995-2000
CAN,UKR,291,1990-1995
CAN,UZB,14,2005-2010
CAN,UZB,0,2000-2005
CAN,UZB,0,1995-2000
CAN,UZB,0,1990-1995
USA,AZE,893,2005-2010
USA,AZE,18,2000-2005
USA,AZE,0,1995-2000
USA,AZE,1,1990-1995
USA,BLR,2092,2005-2010
USA,BLR,988,2000-2005
USA,BLR,0,1995-2000
USA,BLR,523,1990-1995
USA,EST,795,2005-2010
USA,EST,272,2000-2005
USA,EST,5,1995-2000
USA,EST,126,1990-1995
USA,GEO,1,2005-2010
USA,GEO,0,2000-2005
USA,GEO,0,1995-2000
USA,GEO,0,1990-1995
USA,KAZ,41206,2005-2010
USA,KAZ,1483,2000-2005
USA,KAZ,0,1995-2000
USA,KAZ,0,1990-1995
USA,KGZ,4,2005-2010
USA,KGZ,0,2000-2005
USA,KGZ,232,1995-2000
USA,KGZ,0,1990-1995
USA,LTU,2011,2005-2010
USA,LTU,1496,2000-2005
USA,LTU,0,1995-2000
USA,LTU,85,1990-1995
USA,LVA,1100,2005-2010
USA,LVA,666,2000-2005
USA,LVA,17,1995-2000
USA,LVA,473,1990-1995
USA,MDA,477,2005-2010
USA,MDA,0,2000-2005
USA,MDA,0,1995-2000
USA,MDA,138,1990-1995
USA,RUS,40228,2005-2010
USA,RUS,8099,2000-2005
USA,RUS,1,1995-2000
USA,RUS,3048,1990-1995
USA,TJK,17,2005-2010
USA,TJK,0,2000-2005
USA,TJK,0,1995-2000
USA,TJK,0,1990-1995
USA,TKM,7,2005-2010
USA,TKM,0,2000-2005
USA,TKM,0,1995-2000
USA,TKM,142,1990-1995
USA,UKR,19157,2005-2010
USA,UKR,2238,2000-2005
USA,UKR,0,1995-2000
USA,UKR,341,1990-1995
USA,UZB,117,2005-2010
USA,UZB,17,2000-2005
USA,UZB,0,1995-2000
USA,UZB,11,1990-1995
CAN,ARE,9,2005-2010
CAN,ARE,0,2000-2005
CAN,ARE,0,1995-2000
CAN,ARE,0,1990-1995
CAN,BHR,62,2005-2010
